reading_date,region_name,building_type,total_kwh,n_readings,n_meters
2026-01-01,Barcelona,factory,868.816,380,4
2026-01-01,Barcelona,hospital,1621.552,850,9
2026-01-01,Barcelona,office,1232.657,1890,20
2026-01-01,Barcelona,residential,927.371,2829,30
2026-01-01,Barcelona,retail,492.341,851,9
2026-01-01,Barcelona,school,58.012,286,3
2026-01-01,Berlin,factory,2321.548,938,10
2026-01-01,Berlin,hospital,354.525,191,2
2026-01-01,Berlin,office,253.22,472,5
2026-01-01,Berlin,residential,1134.079,2831,30
2026-01-01,Berlin,retail,414.554,658,7
2026-01-01,Berlin,school,224.261,857,9
2026-01-01,Birmingham,factory,1313.534,470,5
2026-01-01,Birmingham,office,143.026,282,3
2026-01-01,Birmingham,residential,581.59,1501,16
2026-01-01,Birmingham,school,167.422,661,7
2026-01-01,London North,factory,1020.63,375,4
2026-01-01,London North,hospital,1518.869,848,9
2026-01-01,London North,office,107.943,190,2
2026-01-01,London North,residential,500.958,1318,14
2026-01-01,London North,retail,336.726,665,7
2026-01-01,London North,school,177.99,659,7
2026-01-01,London South,factory,289.742,95,1
2026-01-01,London South,hospital,679.478,283,3
2026-01-01,London South,office,698.576,1136,12
2026-01-01,London South,residential,290.117,844,9
2026-01-01,London South,school,205.887,853,9
2026-01-01,Lyon,factory,295.238,96,1
2026-01-01,Lyon,hospital,351.823,189,2
2026-01-01,Lyon,office,848.411,1317,14
2026-01-01,Lyon,residential,495.038,1314,14
2026-01-01,Lyon,retail,324.723,566,6
2026-01-01,Lyon,school,120.431,469,5
2026-01-01,Madrid,factory,588.514,287,3
2026-01-01,Madrid,hospital,917.836,471,5
2026-01-01,Madrid,residential,553.807,1517,16
2026-01-01,Madrid,retail,219.481,376,4
2026-01-01,Madrid,school,182.538,665,7
2026-01-01,Manchester,factory,1315.743,468,5
2026-01-01,Manchester,hospital,2153.322,952,10
2026-01-01,Manchester,office,469.855,853,9
2026-01-01,Manchester,residential,653.401,1605,17
2026-01-01,Manchester,retail,523.348,944,10
2026-01-01,Manchester,school,53.675,187,2
2026-01-01,Munich,factory,288.978,95,1
2026-01-01,Munich,hospital,1616.282,854,9
2026-01-01,Munich,office,324.528,567,6
2026-01-01,Munich,residential,473.401,1321,14
2026-01-01,Munich,retail,162.496,281,3
