meter_id,reading_date,meter_status,readings_expected,readings_received,completeness_pct,status
1,2026-01-01,active,96,94,97.9,complete
10,2026-01-01,active,96,95,99.0,complete
100,2026-01-01,active,96,96,100.0,complete
101,2026-01-01,active,96,93,96.9,complete
102,2026-01-01,maintenance,48,94,100.0,complete
103,2026-01-01,active,96,94,97.9,complete
104,2026-01-01,active,96,95,99.0,complete
105,2026-01-01,active,96,96,100.0,complete
106,2026-01-01,active,96,96,100.0,complete
107,2026-01-01,active,96,91,94.8,complete
109,2026-01-01,active,96,96,100.0,complete
11,2026-01-01,active,96,95,99.0,complete
110,2026-01-01,active,96,95,99.0,complete
111,2026-01-01,active,96,94,97.9,complete
113,2026-01-01,active,96,93,96.9,complete
114,2026-01-01,active,96,94,97.9,complete
116,2026-01-01,active,96,96,100.0,complete
117,2026-01-01,active,96,95,99.0,complete
118,2026-01-01,active,96,94,97.9,complete
119,2026-01-01,active,96,96,100.0,complete
12,2026-01-01,active,96,95,99.0,complete
120,2026-01-01,active,96,94,97.9,complete
121,2026-01-01,active,96,95,99.0,complete
123,2026-01-01,maintenance,96,93,96.9,complete
124,2026-01-01,active,96,95,99.0,complete
126,2026-01-01,active,96,95,99.0,complete
127,2026-01-01,active,96,94,97.9,complete
128,2026-01-01,active,96,94,97.9,complete
129,2026-01-01,maintenance,96,96,100.0,complete
13,2026-01-01,active,96,95,99.0,complete
131,2026-01-01,active,96,95,99.0,complete
132,2026-01-01,active,96,94,97.9,complete
133,2026-01-01,active,96,93,96.9,complete
134,2026-01-01,active,96,95,99.0,complete
135,2026-01-01,active,96,96,100.0,complete
136,2026-01-01,active,96,95,99.0,complete
137,2026-01-01,active,96,91,94.8,complete
138,2026-01-01,active,96,93,96.9,complete
139,2026-01-01,active,96,95,99.0,complete
14,2026-01-01,active,96,94,97.9,complete
140,2026-01-01,active,96,93,96.9,complete
141,2026-01-01,active,96,95,99.0,complete
142,2026-01-01,active,96,93,96.9,complete
143,2026-01-01,active,96,95,99.0,complete
145,2026-01-01,active,96,96,100.0,complete
146,2026-01-01,active,96,94,97.9,complete
147,2026-01-01,active,96,95,99.0,complete
148,2026-01-01,active,96,94,97.9,complete
149,2026-01-01,active,96,93,96.9,complete
15,2026-01-01,active,96,94,97.9,complete
