meter_id,building_id,meter_status,readings_expected,n_accepted,completeness_pct,n_rejected,reject_rate_pct,n_duplicate_readings,n_late,reliability_flag
282,106,maintenance,672,647,96.3,4,0.6,12,5,reliable
437,4,maintenance,672,648,96.4,4,0.6,5,3,reliable
225,159,maintenance,672,648,96.4,2,0.3,5,2,reliable
268,40,maintenance,672,649,96.6,5,0.8,1,1,reliable
339,128,maintenance,672,649,96.6,4,0.6,8,5,reliable
451,59,maintenance,672,650,96.7,4,0.6,1,0,reliable
298,160,maintenance,672,651,96.9,6,0.9,4,2,reliable
234,9,active,672,651,96.9,4,0.6,5,1,reliable
224,159,maintenance,672,652,97.0,6,0.9,5,3,reliable
191,66,maintenance,672,652,97.0,0,0.0,5,3,reliable
208,171,active,672,653,97.2,6,0.9,2,1,reliable
470,23,maintenance,672,653,97.2,5,0.8,6,3,reliable
245,144,maintenance,672,653,97.2,5,0.8,9,3,reliable
152,81,maintenance,672,653,97.2,3,0.5,5,2,reliable
34,148,active,672,654,97.3,4,0.6,4,1,reliable
114,79,active,672,654,97.3,4,0.6,8,3,reliable
463,178,maintenance,672,654,97.3,2,0.3,7,3,reliable
386,108,maintenance,672,654,97.3,2,0.3,5,1,reliable
315,38,maintenance,672,654,97.3,0,0.0,8,3,reliable
307,72,active,672,655,97.5,8,1.2,3,0,reliable
68,107,active,672,655,97.5,5,0.8,2,1,reliable
411,90,active,672,655,97.5,4,0.6,6,0,reliable
79,145,active,672,655,97.5,3,0.5,4,1,reliable
278,136,maintenance,672,655,97.5,3,0.5,4,3,reliable
51,127,maintenance,672,655,97.5,2,0.3,7,5,reliable
23,35,maintenance,672,655,97.5,2,0.3,5,4,reliable
123,58,maintenance,672,655,97.5,2,0.3,10,9,reliable
214,126,active,672,656,97.6,8,1.2,5,1,reliable
217,40,maintenance,672,656,97.6,5,0.8,3,2,reliable
210,128,active,672,656,97.6,3,0.5,8,3,reliable
203,183,active,672,656,97.6,2,0.3,5,3,reliable
359,173,active,672,656,97.6,2,0.3,4,2,reliable
141,109,active,672,656,97.6,2,0.3,5,2,reliable
28,195,active,672,656,97.6,1,0.2,3,2,reliable
283,131,active,672,657,97.8,8,1.2,4,0,reliable
360,28,active,672,657,97.8,8,1.2,4,2,reliable
432,90,active,672,657,97.8,7,1.1,7,5,reliable
107,168,active,672,657,97.8,6,0.9,7,4,reliable
453,55,active,672,657,97.8,5,0.8,9,3,reliable
111,115,active,672,657,97.8,5,0.8,3,2,reliable
25,57,active,672,657,97.8,5,0.8,2,1,reliable
294,197,active,672,657,97.8,5,0.8,3,2,reliable
149,74,active,672,657,97.8,5,0.8,5,4,reliable
30,66,active,672,657,97.8,4,0.6,2,1,reliable
207,43,maintenance,672,657,97.8,4,0.6,5,1,reliable
382,152,active,672,657,97.8,4,0.6,3,1,reliable
134,166,active,672,657,97.8,4,0.6,4,1,reliable
29,102,maintenance,672,657,97.8,3,0.5,1,0,reliable
406,66,active,672,657,97.8,3,0.5,7,3,reliable
18,87,active,672,657,97.8,3,0.5,5,2,reliable
393,183,active,672,657,97.8,3,0.5,1,0,reliable
182,93,active,672,657,97.8,3,0.5,3,2,reliable
368,146,active,672,657,97.8,3,0.5,6,2,reliable
85,188,active,672,657,97.8,2,0.3,3,2,reliable
78,19,active,672,657,97.8,2,0.3,5,1,reliable
446,17,maintenance,672,657,97.8,1,0.2,0,0,reliable
480,31,active,672,658,97.9,8,1.2,6,2,reliable
429,66,active,672,658,97.9,6,0.9,7,4,reliable
349,185,active,672,658,97.9,6,0.9,6,3,reliable
198,107,active,672,658,97.9,5,0.8,7,5,reliable
288,186,active,672,658,97.9,5,0.8,4,2,reliable
133,81,active,672,658,97.9,4,0.6,5,3,reliable
250,126,active,672,658,97.9,4,0.6,2,0,reliable
341,76,active,672,658,97.9,4,0.6,3,1,reliable
256,161,active,672,658,97.9,4,0.6,2,1,reliable
60,23,active,672,658,97.9,4,0.6,9,4,reliable
402,157,active,672,658,97.9,4,0.6,0,0,reliable
27,84,active,672,658,97.9,3,0.5,3,1,reliable
156,160,maintenance,672,658,97.9,3,0.5,5,1,reliable
377,91,active,672,658,97.9,3,0.5,4,0,reliable
215,117,active,672,658,97.9,3,0.5,3,1,reliable
327,167,active,672,658,97.9,2,0.3,11,4,reliable
286,43,active,672,658,97.9,2,0.3,4,0,reliable
304,190,active,672,658,97.9,2,0.3,3,1,reliable
403,122,active,672,658,97.9,1,0.2,2,1,reliable
97,146,active,672,658,97.9,1,0.2,4,2,reliable
126,83,active,672,659,98.1,7,1.1,3,1,reliable
270,165,active,672,659,98.1,7,1.1,3,1,reliable
121,187,active,672,659,98.1,6,0.9,10,4,reliable
50,1,active,672,659,98.1,6,0.9,8,4,reliable
352,119,active,672,659,98.1,5,0.8,5,2,reliable
160,188,active,672,659,98.1,5,0.8,1,1,reliable
89,18,active,672,659,98.1,5,0.8,4,1,reliable
335,194,active,672,659,98.1,5,0.8,7,4,reliable
485,68,active,672,659,98.1,5,0.8,3,1,reliable
333,118,active,672,659,98.1,5,0.8,6,2,reliable
3,147,active,672,659,98.1,4,0.6,7,3,reliable
199,173,active,672,659,98.1,4,0.6,7,3,reliable
302,123,active,672,659,98.1,4,0.6,0,0,reliable
474,123,active,672,659,98.1,4,0.6,7,3,reliable
263,12,active,672,659,98.1,4,0.6,2,1,reliable
363,39,active,672,659,98.1,4,0.6,3,1,reliable
269,24,active,672,659,98.1,4,0.6,4,3,reliable
48,197,active,672,659,98.1,4,0.6,5,3,reliable
465,23,active,672,659,98.1,4,0.6,11,4,reliable
49,171,active,672,659,98.1,4,0.6,9,0,reliable
80,196,active,672,659,98.1,4,0.6,6,0,reliable
171,171,active,672,659,98.1,3,0.5,2,1,reliable
449,198,active,672,659,98.1,3,0.5,5,3,reliable
326,11,active,672,659,98.1,3,0.5,6,4,reliable
452,79,active,672,659,98.1,3,0.5,5,4,reliable
201,199,active,672,659,98.1,3,0.5,2,1,reliable
177,70,active,672,659,98.1,3,0.5,7,3,reliable
398,149,active,672,659,98.1,3,0.5,4,3,reliable
237,131,active,672,659,98.1,3,0.5,3,0,reliable
63,149,active,672,659,98.1,3,0.5,4,2,reliable
135,62,active,672,659,98.1,2,0.3,9,3,reliable
1,77,active,672,659,98.1,2,0.3,6,3,reliable
275,85,maintenance,672,659,98.1,2,0.3,6,3,reliable
312,4,active,672,659,98.1,2,0.3,6,4,reliable
15,112,active,672,659,98.1,1,0.2,4,3,reliable
261,35,active,672,659,98.1,1,0.2,6,4,reliable
242,165,active,672,660,98.2,8,1.2,8,3,reliable
187,11,active,672,660,98.2,6,0.9,7,4,reliable
344,35,active,672,660,98.2,6,0.9,2,2,reliable
436,66,active,672,660,98.2,6,0.9,2,1,reliable
475,78,active,672,660,98.2,5,0.8,3,3,reliable
442,90,active,672,660,98.2,5,0.8,3,1,reliable
455,59,active,672,660,98.2,5,0.8,6,2,reliable
194,116,active,672,660,98.2,5,0.8,6,4,reliable
204,48,active,672,660,98.2,5,0.8,5,1,reliable
422,77,active,672,660,98.2,4,0.6,5,2,reliable
146,22,active,672,660,98.2,4,0.6,8,1,reliable
328,8,active,672,660,98.2,4,0.6,5,3,reliable
77,111,active,672,660,98.2,4,0.6,3,0,reliable
118,15,active,672,660,98.2,4,0.6,9,4,reliable
329,145,active,672,660,98.2,4,0.6,6,4,reliable
305,122,active,672,660,98.2,4,0.6,4,2,reliable
14,3,active,672,660,98.2,4,0.6,6,2,reliable
76,159,active,672,660,98.2,4,0.6,1,0,reliable
383,167,active,672,660,98.2,3,0.5,7,4,reliable
101,47,active,672,660,98.2,3,0.5,9,5,reliable
308,147,active,672,660,98.2,3,0.5,5,4,reliable
244,185,active,672,660,98.2,3,0.5,5,0,reliable
246,99,active,672,660,98.2,3,0.5,2,2,reliable
167,118,active,672,660,98.2,3,0.5,3,2,reliable
103,118,active,672,660,98.2,3,0.5,5,2,reliable
173,124,active,672,660,98.2,3,0.5,6,2,reliable
159,153,active,672,660,98.2,3,0.5,2,0,reliable
84,189,active,672,660,98.2,3,0.5,2,1,reliable
212,14,active,672,660,98.2,3,0.5,3,2,reliable
405,183,active,672,660,98.2,3,0.5,4,2,reliable
498,199,active,672,660,98.2,3,0.5,2,2,reliable
355,149,active,672,660,98.2,3,0.5,4,0,reliable
387,16,active,672,660,98.2,2,0.3,6,1,reliable
69,59,active,672,660,98.2,2,0.3,5,3,reliable
64,173,active,672,660,98.2,2,0.3,4,1,reliable
35,21,active,672,660,98.2,2,0.3,4,2,reliable
61,111,active,672,660,98.2,2,0.3,2,0,reliable
274,185,active,672,660,98.2,2,0.3,6,2,reliable
257,142,active,672,660,98.2,2,0.3,4,2,reliable
491,193,active,672,660,98.2,2,0.3,4,2,reliable
450,175,active,672,660,98.2,2,0.3,4,0,reliable
247,144,active,672,660,98.2,2,0.3,6,1,reliable
454,169,active,672,660,98.2,2,0.3,3,0,reliable
473,195,active,672,660,98.2,2,0.3,4,3,reliable
137,175,active,672,660,98.2,2,0.3,6,5,reliable
385,197,active,672,660,98.2,1,0.2,7,3,reliable
104,86,active,672,660,98.2,1,0.2,3,2,reliable
196,55,active,672,660,98.2,1,0.2,1,1,reliable
147,127,active,672,660,98.2,0,0.0,4,0,reliable
138,183,active,672,661,98.4,7,1.0,4,2,reliable
435,133,active,672,661,98.4,6,0.9,9,4,reliable
197,71,active,672,661,98.4,5,0.8,1,0,reliable
461,16,active,672,661,98.4,5,0.8,5,2,reliable
468,162,active,672,661,98.4,4,0.6,3,3,reliable
348,52,active,672,661,98.4,4,0.6,4,1,reliable
227,124,active,672,661,98.4,4,0.6,6,1,reliable
164,20,active,672,661,98.4,4,0.6,7,3,reliable
376,55,active,672,661,98.4,4,0.6,3,0,reliable
117,77,active,672,661,98.4,4,0.6,5,1,reliable
358,173,active,672,661,98.4,4,0.6,7,4,reliable
357,127,active,672,661,98.4,4,0.6,5,3,reliable
249,156,active,672,661,98.4,4,0.6,2,1,reliable
200,106,active,672,661,98.4,3,0.5,6,0,reliable
425,53,active,672,661,98.4,3,0.5,3,2,reliable
379,66,active,672,661,98.4,3,0.5,4,0,reliable
184,131,active,672,661,98.4,3,0.5,6,2,reliable
276,2,active,672,661,98.4,3,0.5,4,1,reliable
401,98,active,672,661,98.4,3,0.5,3,1,reliable
477,100,active,672,661,98.4,3,0.5,3,1,reliable
140,13,active,672,661,98.4,3,0.5,6,3,reliable
280,29,active,672,661,98.4,3,0.5,6,3,reliable
157,22,maintenance,672,661,98.4,3,0.5,5,2,reliable
367,27,active,672,661,98.4,3,0.5,1,0,reliable
487,38,active,672,661,98.4,3,0.5,6,1,reliable
2,165,active,672,661,98.4,3,0.5,4,0,reliable
324,90,active,672,661,98.4,3,0.5,5,2,reliable
205,188,active,672,661,98.4,2,0.3,4,1,reliable
434,94,active,672,661,98.4,2,0.3,3,1,reliable
8,152,active,672,661,98.4,2,0.3,5,3,reliable
258,49,active,672,661,98.4,2,0.3,6,3,reliable
458,43,active,672,661,98.4,2,0.3,3,1,reliable
70,182,active,672,661,98.4,2,0.3,6,3,reliable
