event_id,meter_id,event_timestamp,event_type,severity,description
E000000251,428,2026-01-02 21:48:00,tamper_alert,high,tamper alert detected
E000000252,383,2026-01-02 05:13:00,firmware_update,low,firmware update detected
E000000253,86,2026-01-02 20:41:00,low_voltage,medium,low voltage detected
E000000254,335,2026-01-02 08:24:00,meter_reset,medium,meter reset detected
E000000255,260,2026-01-02 18:28:00,low_voltage,medium,low voltage detected
E000000256,241,2026-01-02 15:07:00,connection_lost,high,connection lost detected
E000000257,189,2026-01-02 01:36:00,firmware_update,low,firmware update detected
E000000258,206,2026-01-02 04:49:00,low_voltage,medium,low voltage detected
E000000259,77,2026-01-02 18:42:00,tamper_alert,high,tamper alert detected
E000000260,328,2026-01-02 00:25:00,high_voltage,high,high voltage detected
E000000261,31,2026-01-02 19:50:00,connection_lost,high,connection lost detected
E000000262,215,2026-01-02 01:25:00,low_voltage,medium,low voltage detected
E000000263,493,2026-01-02 21:31:00,tamper_alert,high,tamper alert detected
E000000264,322,2026-01-02 07:50:00,high_voltage,high,high voltage detected
E000000265,489,2026-01-02 09:12:00,meter_reset,medium,meter reset detected
E000000266,169,2026-01-02 02:56:00,tamper_alert,high,tamper alert detected
E000000267,86,2026-01-02 15:38:00,connection_lost,high,connection lost detected
E000000268,264,2026-01-02 09:18:00,meter_reset,medium,meter reset detected
E000000269,12,2026-01-02 08:55:00,meter_reset,medium,meter reset detected
E000000270,297,2026-01-02 03:12:00,tamper_alert,high,tamper alert detected
E000000271,467,2026-01-02 00:33:00,firmware_update,low,firmware update detected
E000000272,189,2026-01-02 14:17:00,connection_lost,high,connection lost detected
E000000273,394,2026-01-02 00:21:00,firmware_update,low,firmware update detected
E000000274,92,2026-01-02 02:59:00,connection_lost,high,connection lost detected
E000000275,93,2026-01-02 20:28:00,connection_lost,high,connection lost detected
E000000276,153,2026-01-02 17:17:00,firmware_update,low,firmware update detected
E000000277,29,2026-01-02 05:05:00,connection_lost,high,connection lost detected
E000000278,351,2026-01-02 15:24:00,meter_reset,medium,meter reset detected
E000000279,365,2026-01-02 22:25:00,meter_reset,medium,meter reset detected
E000000280,410,2026-01-02 02:18:00,meter_reset,medium,meter reset detected
E000000281,434,2026-01-02 04:06:00,firmware_update,low,firmware update detected
E000000282,462,2026-01-02 12:24:00,firmware_update,low,firmware update detected
E000000283,88,2026-01-02 02:56:00,connection_lost,high,connection lost detected
E000000284,480,2026-01-02 02:09:00,low_voltage,medium,low voltage detected
E000000285,358,2026-01-02 10:36:00,connection_lost,high,connection lost detected
E000000286,404,2026-01-02 03:36:00,firmware_update,low,firmware update detected
E000000287,51,2026-01-02 05:50:00,meter_reset,medium,meter reset detected
E000000288,324,2026-01-02 16:10:00,high_voltage,high,high voltage detected
E000000289,14,2026-01-02 16:01:00,connection_lost,high,connection lost detected
E000000290,223,2026-01-02 12:23:00,connection_lost,high,connection lost detected
E000000291,451,2026-01-02 13:29:00,high_voltage,high,high voltage detected
E000000292,483,2026-01-02 09:51:00,connection_lost,high,connection lost detected
E000000293,1,2026-01-02 17:45:00,tamper_alert,high,tamper alert detected
E000000294,15,2026-01-02 20:18:00,high_voltage,high,high voltage detected
E000000295,90,2026-01-02 15:16:00,firmware_update,low,firmware update detected
E000000296,22,2026-01-02 01:09:00,firmware_update,low,firmware update detected
E000000297,328,2026-01-02 11:17:00,connection_lost,high,connection lost detected
E000000298,263,2026-01-02 11:31:00,firmware_update,low,firmware update detected
E000000299,288,2026-01-02 02:23:00,tamper_alert,high,tamper alert detected
E000000300,173,2026-01-02 14:44:00,connection_lost,high,connection lost detected
E000000301,87,2026-01-02 01:18:00,high_voltage,high,high voltage detected
E000000302,226,2026-01-02 22:19:00,firmware_update,low,firmware update detected
E000000303,340,2026-01-02 18:12:00,connection_lost,high,connection lost detected
E000000304,424,2026-01-02 21:51:00,meter_reset,medium,meter reset detected
E000000305,161,2026-01-02 13:54:00,tamper_alert,high,tamper alert detected
E000000306,323,2026-01-02 14:56:00,firmware_update,low,firmware update detected
E000000307,281,2026-01-02 12:31:00,firmware_update,low,firmware update detected
E000000308,404,2026-01-02 11:44:00,low_voltage,medium,low voltage detected
E000000309,305,2026-01-02 14:55:00,firmware_update,low,firmware update detected
E000000310,86,2026-01-02 19:37:00,connection_lost,high,connection lost detected
E000000311,25,2026-01-02 21:12:00,connection_lost,high,connection lost detected
E000000312,68,2026-01-02 19:07:00,meter_reset,medium,meter reset detected
E000000313,444,2026-01-02 10:49:00,connection_lost,high,connection lost detected
E000000314,441,2026-01-02 08:08:00,tamper_alert,high,tamper alert detected
E000000315,485,2026-01-02 10:48:00,low_voltage,medium,low voltage detected
E000000316,35,2026-01-02 08:31:00,firmware_update,low,firmware update detected
E000000317,210,2026-01-02 00:28:00,high_voltage,high,high voltage detected
E000000318,360,2026-01-02 18:32:00,low_voltage,medium,low voltage detected
E000000319,368,2026-01-02 19:33:00,high_voltage,high,high voltage detected
E000000320,11,2026-01-02 00:50:00,low_voltage,medium,low voltage detected
E000000321,453,2026-01-02 18:28:00,connection_lost,high,connection lost detected
E000000322,430,2026-01-02 18:22:00,meter_reset,medium,meter reset detected
E000000323,199,2026-01-02 19:43:00,high_voltage,high,high voltage detected
E000000324,128,2026-01-02 06:10:00,high_voltage,high,high voltage detected
E000000325,433,2026-01-02 15:22:00,meter_reset,medium,meter reset detected
E000000326,45,2026-01-02 18:34:00,low_voltage,medium,low voltage detected
E000000327,204,2026-01-02 09:28:00,connection_lost,high,connection lost detected
E000000328,202,2026-01-02 11:02:00,high_voltage,high,high voltage detected
E000000329,339,2026-01-02 16:24:00,connection_lost,high,connection lost detected
E000000330,494,2026-01-02 22:48:00,low_voltage,medium,low voltage detected
E000000331,167,2026-01-02 09:46:00,firmware_update,low,firmware update detected
E000000332,116,2026-01-02 03:26:00,low_voltage,medium,low voltage detected
E000000333,59,2026-01-02 10:38:00,low_voltage,medium,low voltage detected
E000000334,15,2026-01-02 01:29:00,firmware_update,low,firmware update detected
E000000335,238,2026-01-02 07:39:00,connection_lost,high,connection lost detected
E000000336,311,2026-01-02 13:29:00,high_voltage,high,high voltage detected
E000000337,354,2026-01-02 00:56:00,connection_lost,high,connection lost detected
E000000338,52,2026-01-02 12:20:00,meter_reset,medium,meter reset detected
E000000339,477,2026-01-02 21:11:00,firmware_update,low,firmware update detected
E000000340,359,2026-01-02 06:09:00,high_voltage,high,high voltage detected
E000000341,164,2026-01-02 03:14:00,connection_lost,high,connection lost detected
E000000342,374,2026-01-02 08:35:00,connection_lost,high,connection lost detected
E000000343,252,2026-01-02 07:47:00,low_voltage,medium,low voltage detected
E000000344,485,2026-01-02 20:22:00,firmware_update,low,firmware update detected
E000000345,155,2026-01-02 18:18:00,connection_lost,high,connection lost detected
E000000346,121,2026-01-02 12:25:00,high_voltage,high,high voltage detected
E000000347,235,2026-01-02 03:37:00,connection_lost,high,connection lost detected
E000000348,274,2026-01-02 22:26:00,high_voltage,high,high voltage detected
E000000349,290,2026-01-02 00:13:00,meter_reset,medium,meter reset detected
E000000350,330,2026-01-02 02:02:00,firmware_update,low,firmware update detected
E000000351,49,2026-01-02 04:32:00,low_voltage,medium,low voltage detected
E000000352,284,2026-01-02 01:31:00,high_voltage,high,high voltage detected
E000000353,162,2026-01-02 20:39:00,high_voltage,high,high voltage detected
E000000354,463,2026-01-02 17:36:00,meter_reset,medium,meter reset detected
E000000355,3,2026-01-02 15:12:00,meter_reset,medium,meter reset detected
E000000356,159,2026-01-02 10:31:00,meter_reset,medium,meter reset detected
E000000357,427,2026-01-02 21:32:00,high_voltage,high,high voltage detected
E000000358,203,2026-01-02 22:18:00,high_voltage,high,high voltage detected
E000000359,107,2026-01-02 09:39:00,firmware_update,low,firmware update detected
E000000360,274,2026-01-02 08:43:00,low_voltage,medium,low voltage detected
E000000361,215,2026-01-02 16:15:00,firmware_update,low,firmware update detected
E000000362,307,2026-01-02 20:27:00,connection_lost,high,connection lost detected
E000000363,454,2026-01-02 01:03:00,high_voltage,high,high voltage detected
E000000364,105,2026-01-02 04:45:00,high_voltage,high,high voltage detected
E000000365,229,2026-01-02 06:25:00,firmware_update,low,firmware update detected
E000000366,400,2026-01-02 23:43:00,tamper_alert,high,tamper alert detected
E000000367,107,2026-01-02 02:55:00,firmware_update,low,firmware update detected
E000000368,400,2026-01-02 22:15:00,connection_lost,high,connection lost detected
E000000369,54,2026-01-02 07:33:00,high_voltage,high,high voltage detected
E000000370,102,2026-01-02 13:39:00,tamper_alert,high,tamper alert detected
E000000371,495,2026-01-02 07:02:00,firmware_update,low,firmware update detected
E000000372,327,2026-01-02 15:24:00,high_voltage,high,high voltage detected
E000000373,157,2026-01-02 04:46:00,low_voltage,medium,low voltage detected
E000000374,83,2026-01-02 00:33:00,high_voltage,high,high voltage detected
E000000375,137,2026-01-02 12:17:00,firmware_update,low,firmware update detected
E000000376,224,2026-01-02 20:10:00,firmware_update,low,firmware update detected
E000000377,113,2026-01-02 10:53:00,connection_lost,high,connection lost detected
E000000378,206,2026-01-02 18:15:00,connection_lost,high,connection lost detected
E000000379,401,2026-01-02 03:40:00,meter_reset,medium,meter reset detected
E000000380,96,2026-01-02 05:23:00,low_voltage,medium,low voltage detected
E000000381,158,2026-01-02 09:42:00,high_voltage,high,high voltage detected
E000000382,480,2026-01-02 16:36:00,connection_lost,high,connection lost detected
E000000383,488,2026-01-02 00:45:00,tamper_alert,high,tamper alert detected
E000000384,184,2026-01-02 21:41:00,meter_reset,medium,meter reset detected
E000000385,56,2026-01-02 17:38:00,high_voltage,high,high voltage detected
E000000386,1,2026-01-02 16:05:00,low_voltage,medium,low voltage detected
E000000387,140,2026-01-02 09:57:00,high_voltage,high,high voltage detected
E000000388,170,2026-01-02 05:37:00,firmware_update,low,firmware update detected
E000000389,407,2026-01-02 22:19:00,high_voltage,high,high voltage detected
E000000390,355,2026-01-02 05:32:00,meter_reset,medium,meter reset detected
E000000391,181,2026-01-02 20:43:00,low_voltage,medium,low voltage detected
E000000392,432,2026-01-02 13:08:00,meter_reset,medium,meter reset detected
E000000393,209,2026-01-02 09:30:00,firmware_update,low,firmware update detected
E000000394,450,2026-01-02 11:56:00,meter_reset,medium,meter reset detected
E000000395,219,2026-01-02 18:59:00,meter_reset,medium,meter reset detected
E000000396,29,2026-01-02 18:04:00,firmware_update,low,firmware update detected
E000000397,497,2026-01-02 03:21:00,firmware_update,low,firmware update detected
E000000398,189,2026-01-02 18:04:00,high_voltage,high,high voltage detected
E000000399,239,2026-01-02 01:32:00,firmware_update,low,firmware update detected
E000000400,353,2026-01-02 23:45:00,firmware_update,low,firmware update detected
E000000401,191,2026-01-02 03:53:00,tamper_alert,high,tamper alert detected
E000000402,43,2026-01-02 15:40:00,low_voltage,medium,low voltage detected
E000000403,173,2026-01-02 03:12:00,connection_lost,high,connection lost detected
E000000404,273,2026-01-02 07:19:00,connection_lost,high,connection lost detected
E000000405,115,2026-01-02 20:26:00,connection_lost,high,connection lost detected
E000000406,229,2026-01-02 09:56:00,firmware_update,low,firmware update detected
E000000407,305,2026-01-02 11:20:00,connection_lost,high,connection lost detected
E000000408,409,2026-01-02 01:50:00,meter_reset,medium,meter reset detected
E000000409,321,2026-01-02 20:49:00,tamper_alert,high,tamper alert detected
E000000410,335,2026-01-02 12:07:00,firmware_update,low,firmware update detected
E000000411,135,2026-01-02 02:12:00,connection_lost,high,connection lost detected
E000000412,352,2026-01-02 15:15:00,high_voltage,high,high voltage detected
E000000413,362,2026-01-02 07:35:00,firmware_update,low,firmware update detected
E000000414,400,2026-01-02 19:53:00,connection_lost,high,connection lost detected
E000000415,437,2026-01-02 15:52:00,firmware_update,low,firmware update detected
E000000416,96,2026-01-02 20:25:00,high_voltage,high,high voltage detected
E000000417,325,2026-01-02 17:02:00,high_voltage,high,high voltage detected
E000000418,362,2026-01-02 07:33:00,firmware_update,low,firmware update detected
E000000419,371,2026-01-02 05:08:00,firmware_update,low,firmware update detected
E000000420,438,2026-01-02 21:23:00,firmware_update,low,firmware update detected
E000000421,377,2026-01-02 18:42:00,tamper_alert,high,tamper alert detected
E000000422,347,2026-01-02 07:20:00,high_voltage,high,high voltage detected
E000000423,66,2026-01-02 19:53:00,low_voltage,medium,low voltage detected
