reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000143424,1,2026-01-04 00:00:00,0.3527,235.8,6.71,0.951,actual,meter_gateway
R0000143425,1,2026-01-04 00:15:00,0.3776,226.43,6.72,0.937,actual,meter_gateway
R0000143426,1,2026-01-04 00:30:00,0.4002,227.79,6.91,0.927,actual,meter_gateway
R0000143427,1,2026-01-04 00:45:00,0.3801,230.56,6.88,0.975,estimated,legacy_import
R0000143428,1,2026-01-04 01:00:00,0.4618,225.78,8.48,0.913,actual,meter_gateway
R0000143429,1,2026-01-04 01:15:00,0.4286,230.12,7.92,0.95,actual,meter_gateway
R0000143430,1,2026-01-04 01:30:00,0.3667,226.59,6.38,0.995,actual,meter_gateway
R0000143431,1,2026-01-04 02:00:00,0.4523,232.72,7.94,0.949,actual,meter_gateway
R0000143432,1,2026-01-04 02:15:00,0.4104,229.8,7.72,0.938,actual,meter_gateway
R0000143433,1,2026-01-04 02:30:00,0.3236,230.84,6.15,0.908,actual,meter_gateway
R0000143434,1,2026-01-04 02:45:00,0.4077,228.79,7.95,0.942,actual,meter_gateway
R0000143435,1,2026-01-04 03:00:00,0.416,228.46,8.03,0.95,actual,meter_gateway
R0000143436,1,2026-01-04 03:15:00,0.36,228.47,6.56,0.968,actual,meter_gateway
R0000143437,1,2026-01-04 03:30:00,0.3368,232.44,6.8,0.927,actual,meter_gateway
R0000143438,1,2026-01-04 03:45:00,0.3001,232.62,5.82,0.965,actual,meter_gateway
R0000143439,1,2026-01-04 04:00:00,0.3935,229.34,7.37,0.928,actual,meter_gateway
R0000143440,1,2026-01-04 04:15:00,0.3053,237.69,5.97,0.889,actual,meter_gateway
R0000143441,1,2026-01-04 04:30:00,0.38,225.91,6.63,0.984,actual,meter_gateway
R0000143442,1,2026-01-04 04:45:00,0.4333,225.7,8.32,0.914,actual,meter_gateway
R0000143443,1,2026-01-04 05:00:00,0.3848,229.57,6.62,0.947,actual,meter_gateway
R0000143444,1,2026-01-04 05:15:00,0.3495,239.3,6.17,0.916,actual,meter_gateway
R0000143445,1,2026-01-04 05:30:00,0.3798,224.27,7.8,0.897,actual,meter_gateway
R0000143446,1,2026-01-04 05:45:00,0.4246,230.6,8.09,0.928,actual,meter_gateway
R0000143447,1,2026-01-04 06:00:00,0.3766,225.71,7.53,0.936,actual,meter_gateway
R0000143448,1,2026-01-04 06:15:00,0.3126,226.47,6.68,0.91,actual,meter_gateway
R0000143449,1,2026-01-04 06:30:00,0.4345,232.15,7.8,0.997,actual,meter_gateway
R0000143450,1,2026-01-04 06:45:00,0.4396,233.01,7.58,0.99,actual,meter_gateway
R0000143451,1,2026-01-04 07:00:00,0.3707,233.13,6.44,0.921,actual,meter_gateway
