building_id,region_id,building_type,floor_area_sqm,customer_type
1,7,hospital,6850,public
2,5,school,500,public
3,8,retail,537,commercial
4,8,residential,65,household
5,2,office,877,commercial
6,10,hospital,6228,public
7,1,residential,61,household
8,6,hospital,5090,public
9,8,school,3139,public
10,4,retail,508,commercial
11,4,residential,107,household
12,5,residential,110,household
13,4,school,1664,public
14,10,office,1108,commercial
15,5,residential,65,household
16,2,residential,117,household
17,2,office,358,commercial
18,9,residential,71,household
19,9,hospital,5681,public
20,4,school,2290,public
21,9,residential,105,household
22,1,school,861,public
23,6,hospital,3794,public
24,5,residential,147,household
25,7,school,669,public
26,5,hospital,5558,public
27,1,factory,4310,industrial
28,6,residential,78,household
29,3,residential,50,household
30,5,residential,62,household
31,10,residential,119,household
32,3,factory,3421,industrial
33,5,school,2488,public
34,5,residential,82,household
35,8,residential,112,household
36,8,residential,95,household
37,5,residential,118,household
38,7,office,672,commercial
39,7,school,869,public
40,4,residential,60,household
41,5,retail,521,commercial
42,7,retail,527,commercial
43,8,school,1925,public
44,5,residential,83,household
45,8,office,1032,commercial
46,3,factory,2368,industrial
47,1,hospital,4035,public
48,8,office,859,commercial
49,1,factory,1767,industrial
50,7,office,942,commercial
51,2,office,999,commercial
52,4,residential,53,household
53,3,residential,81,household
54,10,office,1116,commercial
55,2,residential,59,household
56,10,hospital,7043,public
57,7,office,1024,commercial
58,5,factory,600,industrial
59,10,residential,80,household
60,4,office,790,commercial
61,1,hospital,4851,public
62,9,factory,855,industrial
63,2,school,2338,public
64,3,school,2210,public
65,7,residential,53,household
66,10,residential,69,household
67,4,office,1202,commercial
68,9,residential,127,household
69,7,residential,93,household
70,6,retail,735,commercial
71,3,residential,50,household
72,5,retail,1030,commercial
73,3,retail,694,commercial
74,9,residential,102,household
75,5,school,2464,public
76,4,school,2255,public
77,10,retail,1049,commercial
78,3,hospital,4805,public
79,4,residential,56,household
80,6,residential,117,household
81,5,retail,577,commercial
82,6,residential,144,household
83,1,residential,35,household
84,7,office,495,commercial
85,5,factory,2732,industrial
86,2,school,972,public
87,5,residential,112,household
88,2,office,712,commercial
89,6,office,1411,commercial
90,7,residential,70,household
91,6,residential,101,household
92,6,residential,98,household
93,1,office,1638,commercial
94,10,retail,545,commercial
95,7,office,982,commercial
96,8,residential,69,household
97,5,hospital,4842,public
98,3,factory,2458,industrial
99,10,office,810,commercial
100,5,retail,238,commercial
101,3,residential,56,household
102,3,hospital,11591,public
103,5,residential,106,household
104,6,hospital,3028,public
105,10,residential,110,household
106,10,residential,90,household
107,6,residential,85,household
108,1,residential,75,household
109,6,factory,3417,industrial
110,7,residential,96,household
111,8,retail,702,commercial
112,9,residential,193,household
113,7,residential,108,household
114,6,residential,56,household
115,2,hospital,6256,public
116,1,residential,127,household
117,3,retail,497,commercial
118,10,hospital,5315,public
119,8,hospital,4645,public
120,2,office,1468,commercial
121,8,office,924,commercial
122,4,residential,81,household
123,2,office,1575,commercial
124,5,office,1212,commercial
125,5,residential,58,household
126,4,residential,140,household
127,9,retail,926,commercial
128,5,factory,5641,industrial
129,3,school,1847,public
130,9,school,1507,public
131,1,school,2764,public
132,3,retail,638,commercial
133,7,factory,5748,industrial
134,1,residential,39,household
135,10,residential,76,household
136,10,factory,4092,industrial
137,10,hospital,5272,public
138,10,factory,2260,industrial
139,2,factory,4817,industrial
140,2,factory,600,industrial
141,8,factory,3779,industrial
142,8,office,180,commercial
143,9,retail,208,commercial
144,2,residential,107,household
145,10,office,1191,commercial
146,8,residential,103,household
147,7,hospital,3300,public
148,3,residential,89,household
149,1,residential,57,household
150,10,office,1472,commercial
151,10,factory,3483,industrial
152,10,office,854,commercial
153,1,retail,838,commercial
154,8,residential,176,household
155,2,school,3463,public
156,2,school,2191,public
157,8,office,324,commercial
158,9,office,516,commercial
159,6,residential,104,household
160,10,residential,35,household
161,7,retail,739,commercial
162,3,residential,99,household
163,7,residential,113,household
164,9,residential,88,household
165,9,hospital,4333,public
166,2,school,1874,public
167,2,residential,35,household
168,1,hospital,1939,public
169,3,hospital,6848,public
170,1,retail,671,commercial
171,9,school,2041,public
172,9,residential,91,household
173,6,school,1388,public
174,7,residential,43,household
175,1,residential,123,household
176,3,retail,260,commercial
177,1,residential,111,household
178,7,retail,160,commercial
179,4,residential,76,household
180,1,retail,449,commercial
181,3,hospital,5923,public
182,7,residential,141,household
183,5,residential,132,household
184,6,school,3047,public
185,5,residential,107,household
186,6,office,1722,commercial
187,10,residential,132,household
188,3,office,989,commercial
189,10,school,1391,public
190,5,residential,35,household
191,10,residential,84,household
192,1,office,1314,commercial
193,4,factory,2630,industrial
194,6,school,2257,public
195,3,residential,132,household
196,8,office,852,commercial
197,10,office,1451,commercial
198,6,retail,771,commercial
199,8,office,522,commercial
200,6,residential,65,household
