tariff_id,region_id,valid_from,valid_to,tariff_type,price_per_kwh,peak_period_flag
1,1,2025-07-05,2027-01-01,standard,0.241,False
2,1,2025-07-05,2027-01-01,peak,0.3243,True
3,1,2025-07-05,2027-01-01,off_peak,0.1689,False
4,1,2025-07-05,2027-01-01,industrial,0.2776,False
5,2,2025-07-05,2027-01-01,standard,0.2386,False
6,2,2025-07-05,2027-01-01,peak,0.3179,True
7,2,2025-07-05,2027-01-01,off_peak,0.172,False
8,2,2025-07-05,2027-01-01,industrial,0.3001,False
9,3,2025-07-05,2027-01-01,standard,0.2494,False
10,3,2025-07-05,2027-01-01,peak,0.3318,True
11,3,2025-07-05,2027-01-01,off_peak,0.1915,False
12,3,2025-07-05,2027-01-01,industrial,0.2915,False
13,4,2025-07-05,2027-01-01,standard,0.2599,False
14,4,2025-07-05,2027-01-01,peak,0.3519,True
15,4,2025-07-05,2027-01-01,off_peak,0.196,False
16,4,2025-07-05,2027-01-01,industrial,0.3138,False
17,5,2025-07-05,2027-01-01,standard,0.2924,False
18,5,2025-07-05,2027-01-01,peak,0.3495,True
19,5,2025-07-05,2027-01-01,off_peak,0.2224,False
20,5,2025-07-05,2027-01-01,industrial,0.3321,False
21,6,2025-07-05,2027-01-01,standard,0.2999,False
22,6,2025-07-05,2027-01-01,peak,0.3739,True
23,6,2025-07-05,2027-01-01,off_peak,0.2236,False
24,6,2025-07-05,2027-01-01,industrial,0.3342,False
25,7,2025-07-05,2027-01-01,standard,0.3057,False
26,7,2025-07-05,2027-01-01,peak,0.3655,True
27,7,2025-07-05,2027-01-01,off_peak,0.2437,False
28,7,2025-07-05,2027-01-01,industrial,0.3426,False
29,8,2025-07-05,2027-01-01,standard,0.3184,False
30,8,2025-07-05,2027-01-01,peak,0.3863,True
31,8,2025-07-05,2027-01-01,off_peak,0.2254,False
32,8,2025-07-05,2027-01-01,industrial,0.3503,False
33,9,2025-07-05,2027-01-01,standard,0.3202,False
34,9,2025-07-05,2027-01-01,peak,0.3981,True
35,9,2025-07-05,2027-01-01,off_peak,0.2452,False
36,9,2025-07-05,2027-01-01,industrial,0.3525,False
37,10,2025-07-05,2027-01-01,standard,0.3308,False
38,10,2025-07-05,2027-01-01,peak,0.4063,True
39,10,2025-07-05,2027-01-01,off_peak,0.2741,False
40,10,2025-07-05,2027-01-01,industrial,0.3602,False
