meter_id,building_id,meter_type,installation_date,status,expected_reading_frequency_minutes
1,77,electricity_main,2023-12-23,active,15
2,165,electricity_main,2022-03-23,active,15
3,147,electricity_submeter,2023-04-04,active,15
4,142,electricity_main,2025-06-04,active,15
5,134,electricity_main,2022-06-24,inactive,60
6,90,electricity_main,2025-02-01,active,15
7,151,electricity_submeter,2023-07-21,active,15
8,152,electricity_main,2024-02-06,active,15
9,185,electricity_main,2025-12-15,active,60
10,131,electricity_main,2022-07-26,active,15
11,168,electricity_main,2025-01-07,active,15
12,62,solar_generation,2022-09-22,active,15
13,39,electricity_main,2023-03-03,active,15
14,3,electricity_main,2022-05-03,active,15
15,112,electricity_submeter,2024-08-05,active,15
16,145,electricity_main,2023-06-20,active,15
17,67,electricity_submeter,2023-12-06,active,15
18,87,electricity_main,2025-08-20,active,15
19,117,electricity_main,2023-12-30,active,15
20,200,electricity_submeter,2025-09-01,active,15
21,64,electricity_main,2022-10-07,inactive,15
22,85,electricity_main,2023-03-26,active,15
23,35,electricity_submeter,2024-10-23,maintenance,15
24,176,electricity_submeter,2023-11-29,inactive,15
25,57,electricity_submeter,2025-11-07,active,15
26,102,electricity_main,2024-12-05,active,15
27,84,solar_generation,2025-11-16,active,15
28,195,electricity_main,2024-12-30,active,15
29,102,electricity_main,2025-02-08,maintenance,15
30,66,electricity_main,2025-11-28,active,15
31,45,electricity_submeter,2024-03-21,inactive,15
32,48,electricity_main,2022-02-23,active,15
33,187,electricity_submeter,2024-09-12,active,15
34,148,electricity_submeter,2024-12-15,active,15
35,21,electricity_submeter,2024-06-26,active,15
36,53,electricity_main,2024-09-15,active,15
37,123,electricity_main,2024-09-07,active,15
38,156,electricity_main,2025-05-30,active,15
39,23,electricity_submeter,2023-02-06,active,15
40,136,electricity_submeter,2023-05-15,active,60
41,128,electricity_main,2023-03-09,active,15
42,38,electricity_submeter,2025-12-27,active,15
43,100,electricity_main,2025-08-29,active,15
44,17,electricity_main,2022-04-09,active,15
45,193,electricity_main,2024-07-15,active,30
46,193,electricity_main,2025-01-02,active,15
47,78,electricity_main,2022-12-10,inactive,15
48,197,electricity_main,2024-12-19,active,15
49,171,electricity_main,2022-12-19,active,15
50,1,electricity_main,2023-02-18,active,15
51,127,electricity_main,2023-10-03,maintenance,15
52,52,solar_generation,2025-04-04,active,15
53,35,electricity_main,2024-03-31,active,30
54,156,electricity_main,2024-01-19,active,30
55,148,electricity_main,2022-05-31,active,15
56,197,electricity_main,2023-10-27,active,15
57,171,electricity_main,2022-06-12,active,15
58,90,electricity_main,2022-10-30,active,15
59,31,electricity_main,2022-01-03,active,15
60,23,electricity_main,2024-01-12,active,15
61,111,electricity_submeter,2025-02-13,active,15
62,120,electricity_main,2022-12-21,active,15
63,149,solar_generation,2023-04-28,active,15
64,173,electricity_main,2024-11-04,active,15
65,5,electricity_main,2025-09-03,active,15
66,31,electricity_submeter,2022-06-11,active,15
67,47,electricity_submeter,2024-05-11,active,15
68,107,electricity_main,2024-06-22,active,15
69,59,solar_generation,2023-01-07,active,15
70,182,electricity_main,2025-12-08,active,15
71,110,electricity_main,2025-03-12,active,15
72,128,electricity_main,2023-04-09,active,15
73,77,electricity_main,2022-01-28,active,15
74,61,electricity_main,2024-12-14,inactive,15
75,48,electricity_main,2022-07-03,active,15
76,159,solar_generation,2024-01-11,active,15
77,111,electricity_main,2025-12-20,active,15
78,19,electricity_main,2025-07-09,active,15
79,145,electricity_main,2022-03-15,active,15
80,196,electricity_main,2025-05-05,active,15
81,170,electricity_main,2025-06-29,active,15
82,106,electricity_submeter,2023-08-02,active,15
83,54,solar_generation,2025-01-12,active,15
84,189,electricity_submeter,2022-01-19,active,15
85,188,electricity_submeter,2022-05-18,active,15
86,94,solar_generation,2022-08-07,active,15
87,184,solar_generation,2025-06-08,active,15
88,176,electricity_submeter,2024-12-06,active,15
89,18,electricity_submeter,2024-12-18,active,15
90,89,solar_generation,2022-06-02,active,15
91,101,electricity_main,2022-05-26,active,15
92,43,electricity_main,2025-11-30,active,15
93,126,electricity_main,2023-07-31,active,15
94,77,electricity_main,2023-08-21,inactive,15
95,14,electricity_main,2022-10-15,active,15
96,67,electricity_submeter,2022-08-26,active,30
97,146,electricity_main,2022-12-22,active,15
98,69,electricity_main,2023-02-11,active,15
99,12,electricity_main,2023-11-15,active,15
100,18,electricity_submeter,2025-11-01,active,15
101,47,electricity_main,2023-01-04,active,15
102,155,solar_generation,2025-08-09,maintenance,30
103,118,electricity_main,2022-04-15,active,15
104,86,electricity_submeter,2022-05-22,active,15
105,105,electricity_main,2022-08-30,active,15
106,75,electricity_submeter,2024-05-02,active,15
107,168,electricity_submeter,2023-08-15,active,15
108,121,electricity_main,2025-10-06,inactive,15
109,77,electricity_submeter,2023-01-22,active,15
110,13,electricity_main,2023-10-19,active,15
111,115,electricity_main,2025-06-30,active,15
112,67,electricity_main,2022-12-24,inactive,15
113,1,electricity_main,2025-02-08,active,15
114,79,electricity_main,2024-02-23,active,15
115,37,electricity_main,2025-10-22,inactive,15
116,75,electricity_main,2024-03-20,active,15
117,77,solar_generation,2022-06-23,active,15
118,15,electricity_main,2023-11-10,active,15
119,168,electricity_submeter,2025-12-14,active,15
120,168,solar_generation,2022-08-12,active,15
121,187,electricity_submeter,2023-05-15,active,15
122,128,electricity_main,2025-03-04,inactive,15
123,58,electricity_main,2024-07-21,maintenance,15
124,176,electricity_main,2022-04-01,active,15
125,158,electricity_main,2024-07-12,inactive,15
126,83,electricity_main,2024-11-26,active,15
127,15,solar_generation,2023-11-22,active,15
128,19,electricity_submeter,2024-09-17,active,15
129,58,electricity_submeter,2025-07-27,maintenance,15
130,151,electricity_main,2024-08-21,inactive,15
131,147,electricity_main,2024-12-14,active,15
132,118,solar_generation,2024-01-14,active,15
133,81,electricity_main,2023-05-15,active,15
134,166,electricity_submeter,2022-05-14,active,15
135,62,electricity_main,2022-01-29,active,15
136,188,electricity_main,2025-06-10,active,15
137,175,electricity_main,2023-02-06,active,15
138,183,electricity_main,2025-08-22,active,15
139,154,electricity_main,2025-10-23,active,15
140,13,solar_generation,2023-04-13,active,15
141,109,electricity_main,2022-02-03,active,15
142,73,solar_generation,2023-10-11,active,15
143,172,electricity_main,2024-03-06,active,15
144,162,solar_generation,2022-12-23,inactive,15
145,188,electricity_submeter,2025-11-29,active,15
146,22,electricity_main,2023-12-03,active,15
147,127,electricity_main,2023-02-27,active,15
148,58,electricity_submeter,2022-11-16,active,15
149,74,electricity_main,2022-01-11,active,15
150,47,electricity_submeter,2022-07-21,active,15
151,91,electricity_main,2025-12-28,active,15
152,81,solar_generation,2024-06-23,maintenance,15
153,188,electricity_submeter,2022-07-21,active,15
154,45,electricity_main,2024-08-26,active,15
155,32,electricity_main,2023-09-11,active,15
156,160,solar_generation,2024-08-10,maintenance,15
157,22,electricity_submeter,2022-05-19,maintenance,15
158,60,electricity_main,2023-11-05,active,15
159,153,electricity_submeter,2023-05-31,active,15
160,188,electricity_main,2023-09-01,active,15
161,34,electricity_submeter,2023-12-19,active,15
162,184,electricity_main,2022-05-21,active,15
163,103,electricity_main,2022-03-19,active,15
164,20,electricity_submeter,2022-02-20,active,15
165,6,electricity_submeter,2022-08-03,active,15
166,91,electricity_main,2025-04-11,active,15
167,118,electricity_submeter,2023-01-11,active,15
168,143,electricity_main,2023-11-10,active,15
169,130,electricity_main,2025-01-02,active,15
170,33,electricity_submeter,2022-09-14,active,60
171,171,electricity_submeter,2022-07-20,active,15
172,37,solar_generation,2025-07-01,active,15
173,124,electricity_submeter,2022-11-19,active,15
174,2,electricity_main,2024-04-06,active,15
175,93,electricity_main,2022-02-08,active,15
176,124,electricity_main,2023-01-15,active,15
177,70,electricity_main,2024-03-30,active,15
178,33,electricity_main,2023-04-05,active,15
179,73,electricity_main,2022-01-02,inactive,15
180,156,electricity_submeter,2022-09-09,active,15
181,169,electricity_main,2025-09-27,active,15
182,93,electricity_submeter,2022-10-13,active,15
183,83,electricity_main,2022-10-30,active,15
184,131,electricity_main,2025-06-10,active,15
185,106,electricity_main,2023-06-06,active,15
186,161,solar_generation,2025-07-21,active,15
187,11,electricity_main,2022-06-18,active,15
188,193,electricity_submeter,2025-01-06,active,60
189,89,electricity_main,2022-03-06,active,30
190,18,electricity_submeter,2024-04-22,active,30
191,66,electricity_main,2023-12-30,maintenance,15
192,162,electricity_main,2023-08-04,active,15
193,44,electricity_main,2022-10-10,active,15
194,116,electricity_main,2023-06-08,active,15
195,76,solar_generation,2025-09-15,active,15
196,55,electricity_main,2023-10-21,active,15
197,71,electricity_main,2024-03-20,active,15
198,107,electricity_main,2022-05-19,active,15
199,173,electricity_main,2022-11-10,active,15
200,106,solar_generation,2025-04-22,active,15
201,199,solar_generation,2022-03-18,active,15
202,185,electricity_main,2024-04-25,active,15
203,183,electricity_main,2024-04-01,active,15
204,48,electricity_main,2023-12-26,active,15
205,188,electricity_submeter,2023-04-28,active,15
206,12,electricity_main,2023-01-30,active,15
207,43,solar_generation,2024-02-23,maintenance,15
208,171,electricity_main,2022-10-01,active,15
209,24,electricity_submeter,2022-05-28,active,15
210,128,electricity_main,2025-12-04,active,15
211,26,electricity_main,2023-09-02,active,15
212,14,electricity_main,2023-02-20,active,15
213,189,electricity_main,2024-01-30,active,15
214,126,electricity_main,2024-09-02,active,15
215,117,electricity_main,2023-11-06,active,15
216,115,electricity_main,2022-10-03,active,30
217,40,electricity_submeter,2023-08-15,maintenance,15
218,117,electricity_submeter,2024-08-09,active,15
219,27,electricity_main,2023-09-22,active,60
220,96,electricity_main,2025-10-31,active,15
221,105,electricity_main,2025-08-11,inactive,15
222,183,electricity_main,2022-06-21,active,15
223,145,solar_generation,2024-02-20,active,15
224,159,electricity_main,2023-10-12,maintenance,15
225,159,electricity_main,2022-10-04,maintenance,15
226,135,electricity_submeter,2025-06-20,active,30
227,124,solar_generation,2025-05-14,active,15
228,61,electricity_main,2024-03-07,inactive,30
229,88,electricity_main,2024-10-26,active,15
230,56,electricity_main,2023-06-12,active,15
231,114,electricity_main,2025-02-12,inactive,15
232,18,electricity_main,2022-02-21,active,30
233,164,electricity_main,2022-11-16,inactive,30
234,9,electricity_main,2022-12-12,active,15
235,30,electricity_main,2022-10-12,inactive,15
236,133,electricity_main,2024-07-02,active,15
237,131,solar_generation,2025-06-15,active,15
238,95,electricity_main,2022-11-26,inactive,15
239,66,electricity_main,2025-01-30,active,15
240,38,electricity_submeter,2024-08-11,active,15
